Judul,Kota,Wilayah,Luas_Bangunan,Luas_Lahan,Harga,Total_Luas,Kategori
"Jual rumah nyaman, aman dan strategis",Jakarta,Slipi,200,105,2100000000,305,Besar
DiJual Rumah Siap Huni,Jakarta,Jatinegara,100,90,1650000000,190,Sedang
DiJual Rumah Sudah Siap Huni,Jakarta,Jatinegara,120,120,1900000000,240,Sedang
jual cluster minimalis kredit developer dijakarta timur,Jakarta,Lubang Buaya,40,40,399000000,80,Kecil
Rumah 2 lantai dekat mrt lebak bulus dan busway,Jakarta,Lebak Bulus,90,105,994000000,195,Kecil
Dijual Rumah with rooftop Akses Pinggir jalan 2 mobil dkt cilandak dijagakarsa,Jakarta,Jagakarsa,150,87,1875000000,237,Sedang
Dijual Rumah Cantik di Jakarta Selatan Cilandak,Jakarta,Cilandak,150,101,4350000000,251,Sedang
Dijual Rumah 3 Lantai di Janur Hijau Lokasi Strategis Dekat Mall dan Perkantoran,Jakarta,Kelapa Gading,150,150,4850000000,300,Sedang
Hunian tipe cluster di Paseban timur Jakarta pusat,Jakarta,,45,22,350000000,67,Kecil
DIJUAL CEPAT RUMAH 5 KAMAR TIDUR TANJUNG DUREN LOKASI STRATEGIS,Jakarta,Tanjung Duren,150,157,2700000000,307,Sedang
"Precium Simatupang , townhouse terbaru di ampera kemang",Jakarta,TB Simatupang,200,130,7000000000,330,Besar
Turun Harga Rumah Kost Senen Murah Strategis Full Anti Pandemi,Jakarta,Senen,1553,774,19000000000,2327,Besar
Tanah dan 4 bangunan diatasnya,Jakarta,Petukangan Utara,500,710,15000000000,1210,Besar
Rumah Minimalis 2 lantai lokasi dekat suntermall dan stadion jis,Jakarta,Tanjung Priok,33,21,450000000,54,Kecil
Rumah Minimalis dengan harga murah di Utan Kayu Jl Sirsak Jaktim,Jakarta,Utan Kayu,42,21,410000000,63,Kecil
Rumah baru 2 tingkat murah bebas banjir GRAND KARTIKA Cibubur,Jakarta,Cibubur,98,98,1800000000,196,Sedang
Rumah luas dan Bagus di Lebak Bulus,Jakarta,Lebak Bulus,1800,1025,22000000000,2825,Besar
RUMAH DIJUAL DI OTISTA (NEGO SAMPAI JADI) !!!,Jakarta,,600,400,9000000000,1000,Besar
Dijual Rumah Daerah Manggarai Strategis Ditengah Kota Jakarta,Jakarta,,200,199,2800000000,399,Besar
Rumah Bagus Siap Huni Dijual di Johar Baru,Jakarta,Johar Baru,186,252,7000000000,438,Besar
Dijual rumah homey di billy moon pondok kelapa.,Jakarta,Duren Sawit,118,116,1750000000,234,Sedang
Rumah Mewah Jalan Benda Jagakarsa Dkt Ragunan Kebagusan Cilandak,Jakarta,Jagakarsa,150,98,1750000000,248,Sedang
rumah cluster nyaman asri shm dekat tol Cibubur,Jakarta,Pasar Rebo,68,60,790000000,128,Kecil
Asya Cluster Kelimutu,Jakarta,Cakung,105,105,4000000000,210,Sedang
Dijual Rumah Mewah Diapit 2 AKses Tol - Cibubur Depok,Jakarta,Cibubur,70,60,790000000,130,Kecil
rumah baru kartini pasar baru termurah terjangkau,Jakarta,Kartini,38,21,608000000,59,Kecil
Dijual Rumah Baru Siap huni Sunter Jakarta Utara,Jakarta,Sunter,150,80,1500000000,230,Sedang
Cluster Murah di Matraman Jakarta Timur,Jakarta,Utan Kayu,45,27,330000000,72,Kecil
jaul rumah murah di jakarta timur Rumah baru jalan rawakuning,Jakarta,Pulo Gebang,20,24,220000000,44,Kecil
"Dijual Murah Rumah / Ruko / Rukan / Gudang
Di daerah Glodok / Pinangsia / Kota / Mang...",Jakarta,Mangga Besar,564,272,12500000000,836,Besar
Rumah Cluster SHM  Cicilan Ringan DP SUKA SUKA DEKAT TOL  Cibubur,Jakarta,Cibubur,68,65,790000000,133,Kecil
Dijual Rumah PIK 2 Ukuran 10x15,Jakarta,Pantai Indah Kapuk,200,150,5100000000,350,Besar
Di Jual Cepat Murahrumah Baru Hoek 2 Lantai Di Royal Residence Jak Tim,Jakarta,Cakung,114,250,2930000000,364,Sedang
Dijual rumah 2lantai (siap huni),Jakarta,Joglo,75,50,350000000,125,Kecil
Dijual rumah siap huni dipesangrahan permai jakarta selatan,Jakarta,Pesanggrahan,110,140,2100000000,250,Sedang
Rumah Siaphuni  Cukup Dp 10 Jt Free Semua Biaya2,Jakarta,Cibubur,56,140,700000000,196,Kecil
"DIJUAL CEPAT RUMAH DI KAWASAN ELIT (BELAKANG SCBD), COCOK U/ INVESTASI",Jakarta,Kebayoran Baru,204,182,14000000000,386,Besar
Dijual Rumah Baru 2lt Termurah di Jakarta Barat,Jakarta,Cengkareng Timur,73,77,1000000000,150,Kecil
Rumah 2 lantai dekat tb simatupang,Jakarta,Fatmawati,75,105,1000000000,180,Kecil
"Dijual Rumah Modern Di Haji Saidi, Cipete. Lokasi Dekat Stasiun Mrt",Jakarta,Cipete Selatan,600,400,15500000000,1000,Besar
"Dijual Rumah Modern Di Haji Saidi, Cipete. Lokasi Dekat Stasiun Mrt",Jakarta,Cipete Selatan,600,400,15500000000,1000,Besar
Rumah Dijual Cepat Cantik Terawat Di Cinere Depok Dekat Lebak Bulus Jakarta,Jakarta,Lebak Bulus,240,280,4100000000,520,Besar
"Rumah Lama Termurah Di Bawah Njop di Jati Padang, Pasar Minggu",Jakarta,Jati Padang,140,820,6200000000,960,Sedang
DIJUAL CEPAT RUMAH TINGGAL SANGAT STRATEGIS DI KEBON JERUK NEGO,Jakarta,Kebon Jeruk,144,144,3500000000,288,Sedang
TOBA LAKE VILLAS - RUMAH KONSEP RESORT DI TEPI DANAU ASYA JAKARTA GARDEN CITY,Jakarta,Cakung,506,465,9300000000,971,Besar
Rumah Murah Pinggir Jalan cocok untuk Bisnis Usaha & Kost-an di Cibubur,Jakarta,Cibubur,240,240,1500000000,480,Besar
"Dijual/Disewakan Rumah Klasik Bagus & Luas, 2 Lantai di Villa Gading Indah",Jakarta,Kelapa Gading,800,442,17900000000,1242,Besar
PERUMAHAN Subsidi Terdekat Cibubur - PURI ASRI 3,Jakarta,Cibubur,30,60,178000000,90,Kecil
"DIJUAL RUMAH BARU AMERICAN CLASSIC, CEMPAKA PUTIH JAKARTA PUSAT",Jakarta,Cempaka Putih,412,308,12000000000,720,Besar
RUMAH MEWAH CLASSIC PATRA KUNINGAN JAKARTA SELATAN,Jakarta,Kebayoran Baru,800,720,85000000000,1520,Besar
Rumah dijual Di Kota Wisata 2 lantai semi Furnished,Jakarta,Kota Wisata,232,160,2800000000,392,Besar
"CLUSTER KELIMUTU - ASYA JGC - STRATEGIS DEKAT TOL, MRT, LRT",Jakarta,Cakung,155,155,2700000000,310,Besar
Rumah Dijual di dalam cluster bebas Banjir,Jakarta,Lenteng Agung,350,1454,15000000000,1804,Besar
di jual lelang rumah pasar minggu,Jakarta,Pasar Minggu,180,445,2900000000,625,Besar
Cluster Favorit Maninjau Asya Jakarta Garden City,Jakarta,Cakung,112,105,4600000000,217,Sedang
Rumah Cluster Terbaru Gaya SCANDINAVIAN   - Harga 700jt Siap Huni Lokasi Premium,Jakarta,Jagakarsa,68,63,770000000,131,Kecil
"DIJUAL RUMAH SIAP HUNI DI AREA JL.CIPETE DALAM,CIPETE",Jakarta,Cipete,700,650,22000000000,1350,Besar
Rumah Murah Jakarta SHM Tingkat 2 Lt Di Utan Kayu Matraman mulai 300jtan,Jakarta,Utan Kayu,28,15,330000000,43,Kecil
Rumah dijual hitung tanah dijaksel,Jakarta,SetiaBudi,90,150,2850000000,240,Kecil
Di Jual rumah bagus Full Furnished Lokasi Lenteng Agung - Jagakarsa Kota Jakarta,Jakarta,Lenteng Agung,94,94,1550000000,188,Sedang
Cluster Sentarum @ASYA Jakarta Garden City -,Jakarta,Cawang,156,112,2900000000,268,Besar
Bintaro Jaksel Jalan Merak,Jakarta,Bintaro,240,182,3100000000,422,Besar
Dijual Rumah Modern Bagus 2 Lantai di Villa Gading Indah,Jakarta,Kelapa Gading,450,300,12500000000,750,Besar
Darmawangsa Tenang jln lebar  hitung tanah,Jakarta,Kebayoran Baru,579,597,32000000000,1176,Besar
"Dijual Cepat Rumah lama siap Huni Di area Permata Hijau,Jaksel",Jakarta,Permata Hijau,600,1290,45000000000,1890,Besar
Modern Villa House Area Cilandak Siap Huni dan Lingkungan Tenang,Jakarta,Cilandak,500,459,14500000000,959,Besar
"PANTAI MUTIARA,HARGA NEGO",Jakarta,,800,600,20000000000,1400,Besar
"7 Bedrooms Rumah Cibubur, Jakarta Timur, DKI Jakarta",Jakarta,Cibubur,410,411,2850000000,821,Besar
Rumah Siaphuni Di Cibubur,Jakarta,Cibubur,87,69,750000000,156,Kecil
rumah baru murah disini  fuul minimalis,Jakarta,Kayu Manis,36,20,400000000,56,Kecil
Dijual Rumah Murah Jl Martimbang Raya Sinabung Kebayoran Baru Jaksel,Jakarta,Kebayoran Baru,200,264,10000000000,464,Besar
Tinggal 4 Unit Rumah Cluster 2 Lantai Termurah Strategis Cimanggis Depok SHM,Jakarta,Lenteng Agung,65,60,770000000,125,Kecil
Midland  Smart Cluster  Warakas Harga Mulai Dari 299Juta,Jakarta,Warakas,21,21,299000000,42,Kecil
Di Jual Rumah Mewah 2 Lantai di Sunter Jaya Jakarta Utara,Jakarta,Sunter Jaya,530,459,8100000000,989,Besar
Rumah baru dua lantai di utan kayu,Jakarta,Matraman,40,21,505000000,61,Kecil
NEW TOWN HOUSE SIAP HUNI DI JL M KAHFI 1,Jakarta,Jagakarsa,130,77,1525000000,207,Sedang
